,Accelerometer_vehicle_z
356,0.2715011235112197
357,0.2715011235112197
358,0.2715011235112197
359,0.4363933798969871
360,0.4363933798969871
361,0.4363933798969871
362,0.011447410949551422
363,0.011447410949551422
364,0.011447410949551422
365,0.3179562869215146
366,0.3179562869215146
367,0.01459448334840821
368,0.01459448334840821
369,0.01459448334840821
370,0.27598395001745635
371,0.27598395001745635
372,0.27598395001745635
373,0.27598395001745635
374,0.0298228534279921
375,0.0298228534279921
376,0.0298228534279921
377,0.19118582113641028
378,0.19118582113641028
379,0.5262997596237492
380,0.5262997596237492
381,0.5262997596237492
382,0.5262997596237492
383,0.16371650349961742
384,0.16371650349961742
385,0.16371650349961742
386,0.16371650349961742
387,0.47705479668387046
388,0.47705479668387046
389,0.47705479668387046
390,1.9809673184571068
391,1.9809673184571068
392,1.9809673184571068
393,1.1257986900952044
394,1.1257986900952044
395,0.1608240164542954
396,0.1608240164542954
397,0.1608240164542954
398,1.5123112362971065
399,1.5123112362971065
400,1.5123112362971065
401,1.5123112362971065
402,0.4655152548708882
403,0.4655152548708882
404,0.4655152548708882
405,1.055921356052671
406,1.055921356052671
407,1.055921356052671
408,0.42055759243813967
409,0.42055759243813967
410,0.5723340858653599
411,0.5723340858653599
412,0.5723340858653599
413,0.5723340858653599
414,0.5723340858653599
415,0.3998495725307381
416,0.3998495725307381
417,0.3998495725307381
418,0.1623921967229381
419,0.1623921967229381
420,0.1623921967229381
421,0.38931151380009
422,0.38931151380009
423,0.38931151380009
424,0.28541579197501443
425,0.28541579197501443
426,0.33260095840141835
427,0.33260095840141835
428,0.33260095840141835
429,0.24561275990963854
430,0.24561275990963854
431,0.24561275990963854
432,0.24561275990963854
433,0.09729584614225663
434,0.09729584614225663
435,0.09729584614225663
436,0.017809555722467795
437,0.017809555722467795
438,0.2815800286226274
439,0.2815800286226274
440,0.2815800286226274
441,0.2815800286226274
442,1.0237056772865647
443,1.0237056772865647
444,1.0237056772865647
445,1.0237056772865647
446,0.08493068953055366
447,0.08493068953055366
448,0.08493068953055366
449,0.36968027877994236
450,0.36968027877994236
451,0.36968027877994236
452,0.08266890832333876
453,0.08266890832333876
454,0.46976806657008646
455,0.46976806657008646
456,0.46976806657008646
457,0.46976806657008646
458,0.2626056117937464
459,0.2626056117937464
460,0.2626056117937464
461,0.7323340293529272
462,0.7323340293529272
463,0.15452244309557475
464,0.15452244309557475
465,0.15452244309557475
466,0.15452244309557475
467,0.24295645572076022
468,0.24295645572076022
469,0.24295645572076022
470,0.17741655091376687
471,0.17741655091376687
472,0.2849418155091162
473,0.2849418155091162
474,0.2849418155091162
475,0.2849418155091162
476,0.2849418155091162
477,0.06603522389663213
478,0.06603522389663213
479,0.06603522389663213
480,0.6103706316770466
481,0.6103706316770466
482,0.6103706316770466
483,0.4687727846026376
484,0.4687727846026376
485,0.4687727846026376
486,0.4218046371264389
487,0.4218046371264389
488,0.5169292210189367
489,0.5169292210189367
490,0.5169292210189367
491,0.5169292210189367
492,0.6507721132329027
493,0.6507721132329027
494,0.6045315323520939
495,0.6045315323520939
496,0.6045315323520939
497,0.6045315323520939
498,0.07518663160703462
499,0.07518663160703462
500,0.07518663160703462
501,0.6456402404728352
502,0.6456402404728352
503,0.6456402404728352
504,0.13347365045780568
505,0.13347365045780568
506,0.13347365045780568
507,0.13347365045780568
508,0.2684686264050845
509,0.2684686264050845
510,0.2684686264050845
511,0.13205946316941988
512,0.13205946316941988
513,0.13205946316941988
514,0.20663622845851387
515,0.20663622845851387
516,0.19084566840340825
517,0.19084566840340825
518,0.19084566840340825
519,0.19084566840340825
520,0.4258051054398317
521,0.4258051054398317
522,0.5564410758784628
523,0.5564410758784628
524,0.5564410758784628
525,0.7502837883075786
